Oncology Biomarker Common Use(s),reached_phase_3_plus,Oncology Biomarker,Protocol/Trial ID,Trial.ID,Trial Phase
Prognostic,1,ATP2C1,CCR-19-137 COMBAT-ALS EudraCT Number: 2019-003549-14 MN-166-ALS-2301 NCT04057898 TrialTroveID-333564,333564,Ii/Iii
,0,,MN-166-HDT-001 NCT03533387 TrialTroveID-324847,324847,I
Diagnostic; Predictive; Predisposing; Prognostic,0,AKR1C1; ATP2C1; TNF; TSPO,MN-166-ALS-1202 NCT02714036 TrialTroveID-267747,267747,Iii
Diagnostic; Predictive; Prognostic,0,ALDH7A1; LMNB1; MIP,IBU-ALS-1201 MN-166-ALS-1201 NCT02238626 STEP-IBUDILAST-ALS-DB-OLE-1 TrialTroveID-215483,215483,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CFB; GFAP; NEFH; NEFL; SOD1; TARDBP,NCT04505358 PU-AD-SD-0202 TrialTroveID-381048,381048,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,A1BG; BDNF; CYP1A2; CYP2D6; IFNB1; NEFL; NGF; POU2F2; VEGFA,EudraCT Number: 2021-003875-32 NCT05508074 P288ALS Study TRIALS TRIALS Protocol TRIALS study TrialTroveID-403590,403590,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; B2M; CTBP1; DCLK3; DES; GGT1; IFNB1,EudraCT Number: 2018-000443-29 NCT03610334 P188 TrialTroveID-329360,329360,I
,0,,2008/351-31 NCT06376279,513537,Other
Diagnostic; Prognostic,0,LMNB1; SRCIN1,EudraCT Number: 2018-000668-28 ISRCTN83738603 NCT03705390 RG_17-250 TrialTroveID-331524,331524,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; CRP; HGF; myoglobin; NEFL; VWF,"1.2, 2018-05-15 1.5, 2019-06-25 EudraCT Number: 2017-005065-47 NCT03613571 TM-105 TrialTroveID-324533",324533,Ii
Diagnostic; Prognostic,1,PMP22,ALSI vig CRB4180007 jRCTs041190028 TrialTroveID-411490,411490,Iv
Diagnostic; Prognostic,0,LMNB1,TrialTroveID-198313,198313,Ii
,0,,2011P-000304 2011P00304 NCT01565395 TrialTroveID-262397 Xeomin 2012,262397,Ii
Diagnostic; Predictive; Prognostic,0,CBS,NCT02212119 NT-036 TrialTroveID-214357,214357,Ii
Diagnostic; Predisposing; Prognostic,0,PSPH; TPO,2011P-000304 2011P00304 NCT01653132 TrialTroveID-164671 Xeomin 2012,164671,Ii
,0,,NCT03168711 SURE-ALS2 TrialTroveID-294453,294453,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,GPSM2; MTOR,701 NCT02288091 TrialTroveID-220578,220578,I
Diagnostic,0,DHDDS,TrialTroveID-303547 UMIN000024312,303547,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CD200; CD4; CST7; IL2,M2020420 NCT04952155 TrialTroveID-408279,408279,Ii
Prognostic,0,PICK1,15398 NCT01002300 R-08-395,242035,(N/A)
Diagnostic; Predictive; Predisposing; Prognostic,0,ATP2C1; ATXN2; FUS; insulin A1C; NEFL; SOD1,275AS101 ALSpire EudraCT Number: 2020-000207-36 NCT04494256 NL73598.000.20 TrialTroveID-374023,374023,Iii
,0,,245AS102 BASEC2020-00921 EudraCT Number: 2019-004798-14 NCT04288856 NL73220.000.20 SNCTP000004138 TrialTroveID-368837,368837,I
Diagnostic; Predictive; Prognostic,0,ATP2C1; CBS,216409 245AS101 245AS101 - AS EudraCT Number: 2017-000294-36 NCT03626012 NL69083.000.19 SNCTP000003128 TrialTroveID-330208,330208,Iii
Prognostic,0,CDR1; RUNX1T1,247AD201 CELIA EUCT Number: 2022-501644-15-01 EudraCT Number: 2022-501644-15 jRCT2031220635 NCT05399888 TrialTroveID-319730,319730,Ii
,0,,TrialTroveID-313920,313920,I
Diagnostic; Predictive; Prognostic,0,ATP2C1; NEFL; S100A6,101/3 MOH_2018-06-17_002459 NCT03755167 TrialTroveID-337573,337573,Ii
Diagnostic; Predictive; Prognostic,0,ATP2C1; NEFL; OPN1MW; S100A6,101/ 2 NCT03652805 TrialTroveID-331573,331573,Iii
,0,,TrialTroveID-169886,169886,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CYP3A4; LIMS1,NCT05377424 OCR41682 TrialTroveID-432365,432365,Iii
Predictive; Predisposing; Prognostic,0,CYP3A4,INT17470 NCT05797753 TrialTroveID-464741 U1111-1267-9023,464741,I
Diagnostic; Predictive; Predisposing; Prognostic,0,FUS,TrialTroveID-370457,370457,I
,0,,TrialTroveID-407441,407441,Ii
,0,,jRCTs061230001 TrialTroveID-477476,477476,Ii
Prognostic,1,PICK1,D18095 NCT03580616 TrialTroveID-297948,297948,Ii/Iii
Diagnostic; Prognostic,0,ANKH; INPP5D,L-Serine2013 NCT01835782 TrialTroveID-184975,184975,Iii
Predictive; Prognostic,0,CST7,G29007 jRCTs031180173 NCT03186040 TrialTroveID-303297 UMIN000027476,303297,Iii
,1,,2023-506805-20-00 AL001-CS-302 NCT06111014 TrialTroveID-490868,490868,Iii
Diagnostic; Prognostic,0,NEFL,AL001-ALS-201 NCT05053035 TrialTroveID-393792,393792,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,CDR1; GRN; insulin A1C; NEFL; RUNX1T1,135892 AL001-3 BASEC2020-01901 EudraCT Number: 2019-004066-18 INFRONT-3 NCT04374136 NL72487.078.20 SNCTP000004097 TrialTroveID-371125,371125,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,C1QB; CDR1; CTSD; GFAP; GRN; GSC; LAMP1; MAT1A; NEFL; RUNX1T1; SRPX; STS,AL001-2 EudraCT Number: 2019-000138-20 INFRONT INFRONT-2 NCT03987295 NL70050.078.19 TrialTroveID-351601,351601,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CHIT1; CTSB; GPX1 A16A; GRN; NEFL; RBMS2; SGPP1; SOD2 A16A; SPP1; STS,AL001-1 INFRONT NCT03636204 TrialTroveID-330789,330789,I
,1,,LembN01 NCT06093126 TrialTroveID-489507,489507,Iv
Diagnostic; Predictive; Predisposing; Prognostic,0,CD34; cKIT; CXCR4; PECAM1; PROM1; THY1; TRIM37,EudraCT Number: 2005-003248-75 EudraCT-number 2005-03248-75 STEMALS STEMALS 01 TrialTroveID-087353,87353,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,ATP2C1; CCL5; MIP; TBX1; TNF,ALSummit ALSUMMIT HYUH-2018-09-025 KCT0005954 NCT04745299 NEURONATA-R_ALS301 TrialTroveID-393116,393116,Iii
Predictive; Prognostic,0,BBS2; KARS1,TrialTroveID-147469,147469,Ii
Diagnostic; Predictive; Prognostic,0,MSC,HYNR_CS_ALS201 NCT01363401 TrialTroveID-147370,147370,Iii
,1,,TrialTroveID-376264,376264,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,ACE; G6PD,EudraCT Number: 2011-005529-34 NCT01626378 NL41019.078.12 TrialTroveID-228848 TRx-237-007,228848,Iii
Predictive,1,OPN1MW,EudraCT Number: 2014-002013-37 NCT02245568 NL52155.078.15 NMRR-14-1486-23103 REec-2015-1385 TrialTroveID-217397 TRx-237-020 TRx-237-020 23103,217397,Iii
Diagnostic,0,CTSC; DCTN1,8380-06-3R0 NCT00324454 TrialTroveID-078777,78777,Ii
,1,,3119003 EudraCT Number: 2018-004180-31 NCT03948178 REFALS-ES TrialTroveID-342659,342659,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,GNAS; PDSS1; TBX1; TPO,134169 3119002 EudraCT Number: 2017-002754-36 NCT03505021 NL64706.041.18 REFALS TrialTroveID-322838,322838,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; ANG; GGT1; GNAS; NEFL,3119001 EudraCT Number: 2014-004567-21 LEVALS NCT02487407 TrialTroveID-261530 UKCRN ID: 18646,261530,Ii
,0,,CTR20202126 MP-2019-004 TrialTroveID-389004,389004,Ii
Diagnostic; Predictive; Prognostic,0,CD200,ALALS EudraCT Number: 2005-005152-40 TrialTroveID-109559,109559,Ii
,0,,TrialTroveID-261108,261108,Ii
,1,,EudraCT Number: 2008-006891-31 LICALS Extension TrialTroveID-137565 UKCRN ID: 9349,137565,Iv
Diagnostic; Predisposing; Prognostic,0,MIP; NR5A2,TrialTroveID-135873,135873,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CD200; CDKN2B; MTOR; NXT1; SUB1,TrialTroveID-111253,111253,Ii
,0,,TrialTroveID-111182,111182,Ii
Diagnostic; Predisposing; Prognostic,0,ACE,2707/2009 EudraCT Number: 2009-010060-41 TrialTroveID-109390,109390,Ii
,1,SLA,2327/2007 EudraCT Number: 2008-001879-30 TrialTroveID-109383,109383,Iii
Prognostic,1,RPS16; SLA,EudraCT Number: 2008-001094-15 LitALS TrialTroveID-108793,108793,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,CDKN2A,TrialTroveID-107925,107925,Ii
Diagnostic,1,NT5C,6345 EudraCT Number: 2008-006891-31 ISRCTN83178718 LiCALS RAA/2008/013 TrialTroveID-104757 UKCRN ID 5745,104757,Iii
Predictive; Prognostic,0,DHDH,08-192 METC UMC Utrecht LITRA NTR1448 TrialTroveID-100377,100377,Ii
Predictive; Prognostic,0,DHDH,LTA-2-2008 LTA-2-2008 UMC Utrecht NTR1432 TrialTroveID-097749,97749,Ii
,1,FOLH1B,3U01NS049640-04S1 CRC LALS-001 NCT00818389 TrialTroveID-096325 U01NS049640,96325,Ii/Iii
Prognostic,0,RPS16,28.013 NCT00790582 TrialTroveID-091425,91425,Ii
,0,,TrialTroveID-121167,121167,Ii
Predictive,0,OPN1MW,EudraCT Number: 2008-003707-32 LISLA NCT00925847 P080401 TrialTroveID-110858,110858,Ii
Diagnostic; Predictive; Prognostic,0,CD200; MAG,TrialTroveID-096403,96403,Ii
,0,BOLL,CONACYT234154 NCT03204500 TrialTroveID-304621,304621,Ii
,0,,TrialTroveID-508358,508358,I
Diagnostic; Predisposing; Prognostic,0,CAST; CTSC; POLR1G; RHO; RND1,NCT02709330 TrialTroveID-274942,274942,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CDR1; GRN; NCAPG2; NEFL; RUNX1T1,019511 EudraCT Number: 2019-003159-12 J4B-MC-OKAA NCT04408625 PROCLAIM PRV-FTD101 TrialTroveID-363569,363569,Iii
,0,,TrialTroveID-388278,388278,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CD14; CRP; EHHADH; IFNG; LBP; TGFB1,IASO MPNS01 NCT05889572 TrialTroveID-458533,458533,I
Diagnostic; Predictive; Prognostic,0,CD200,EudraCT Number: 2014-002228-28 STEMALS-II TrialTroveID-217484,217484,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,ATP2C1; TBX1,AB14008 AB19001 CCR-20-90 EudraCT Number: 2019-001862-13 MOH_2017-07-09_000594 NCT03127267 NL71135.041.19 TrialTroveID-300123,300123,Iii
,0,,AB17001 EudraCT Number: 2017-001948-34 NCT05200169 QCL118054 TrialTroveID-316619,316619,I
Diagnostic; Predictive; Predisposing; Prognostic,1,ACTA1; ARHGEF7; CST3; DES; ENG; POMC; RIPK1; SPACA9; TBX1,AB10015 EudraCT Number: 2010-024423-24 MOH_2020-12-07_008659 NCT02588677 REec-2013-0211 TrialTroveID-181957,181957,Ii/Iii
Predictive,0,KEL,EudraCT Number: 2019-002315-26 MD1003CT201901HI NCT04252417 TrialTroveID-366994,366994,I
,0,,EudraCT Number: 2019-002315-26 MD1003CT2019602RI NCT04252430 TrialTroveID-366993,366993,I
Diagnostic; Predisposing; Prognostic,0,EIF3M; PGRMC1,MD1003CT2019-03MB NCT04223232 TrialTroveID-365234,365234,I
,0,,Eudract Number: 2019-003121-19 MD1003CT2019-04TQT2 NCT04168723 TQT2 TrialTroveID-361599,361599,I
Diagnostic; Prognostic,0,GGT1; MIP; SRCIN1,EudraCT Number: 2015-005810-31 MD1003-ALS MD1003CT2015-02-ALS NCT03114215 TrialTroveID-289178,289178,Ii
,0,,TrialTroveID-083026,83026,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,CD200; GSC; IGF1; insulin; MAT1A,IGF-1/ALS Trial NCT00035815 TrialTroveID-078710,78710,Iii
Predictive; Predisposing; Prognostic,1,SOD1,763 E0302-J081-763 JET-ALS JETALS NCT03548311 TrialTroveID-311980 UMIN000029588,311980,Iii
,1,,E0302-J081-762 JapicCTI-070434 NCT00445172 TrialTroveID-078774,78774,Ii/Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,KRT5; KRT9; L1CAM; RPS10,E0302-J081-761 JapicCTI-070433 NCT00444613 TrialTroveID-078715,78715,Ii/Iii
,0,,E0302-J064-003 NCT03885882 TrialTroveID-345883,345883,I
,1,,ChiCTR1800016626 TrialTroveID-326456,326456,Iv
Predisposing; Prognostic,1,ADAMTS2,ChiCTR2300071719 TrialTroveID-470911,470911,Iv
Predictive; Predisposing; Prognostic,0,ADAMTS2; CDR1; DOCK3; RUNX1T1,TrialTroveID-315916,315916,Ii
,1,,Baycrest.Ebixa.FTD-001 Lundbeck 11627A NCT00594737,238709,Iii
Predisposing; Prognostic,1,ADAMTS2; CDR1; RUNX1T1,NAM-53:memantineplacebo NCT00545974 TrialTroveID-238316,238316,Iv
Predisposing; Prognostic,0,ADAMTS2,BRD 05/1-E NCT00200538,235151,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,ADAMTS2; CBS; NEFH,NCT02118727 TAME TAME-ALS TAME-ALS FD003937-01 TrialTroveID-207406,207406,Ii
,0,,EudraCT Number: 2005-004329-24 MEM-ALS/05 TrialTroveID-109620,109620,Ii
,0,ANKH,Memantine in ALS NCT01020331 TAME TrialTroveID-079841,79841,Ii
Diagnostic; Predisposing; Prognostic,0,ACE,1204 EB2006ALS NCT00409721 TrialTroveID-078838,78838,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,ADM; CD200; CDKN2A; PNP; S100A9,002-04 MEDALS NCT00353665 TrialTroveID-078800,78800,Ii/Iii
Diagnostic; Prognostic,1,GGT1; SFTPC; SRCIN1; UCN3,AC18082 EudraCT Number: 2019-000099-41 MND-SMART NCT04302870 TrialTroveID-360994,360994,Ii/Iii
Diagnostic; Predictive; Prognostic,1,MSC,TrialTroveID-277187,277187,Iv
,0,,ChiCTR1800017734 TrialTroveID-330370,330370,Iii
Diagnostic; Predictive; Prognostic,0,MSC,TrialTroveID-260001,260001,Iii
Diagnostic; Predictive; Prognostic,0,AKR1C1,NCT04220021 OCR20620 TrialTroveID-364983 UF2019-001,364983,Ii
,0,,TrialTroveID-339228,339228,Ii
Predisposing; Prognostic,0,ADAMTS2,EudraCT Number: 2005-005915-13 TrialTroveID-313456 TRx-014-002,313456,Ii
Predictive; Predisposing; Prognostic,0,CST7; PDSS1,Mexiletine-2 MX-ALS-002 NCT02781454 TrialTroveID-279460,279460,Ii
Predisposing,0,PDSS1,43708-A MX-ALS-001 NCT01849770 TrialTroveID-186024,186024,Ii
,1,,378164 NCT01811355 TrialTroveID-183284,183284,Iv
Predictive; Prognostic,0,CST7,TrialTroveID-154059 UMIN000006423,154059,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,NPC1; OGT; PICK1,03-EI-0011 030011 NCT00316498 TrialTroveID-236246,236246,I
Prognostic,1,PICK1,200802043M NCT01760564 TrialTroveID-229819,229819,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,ARHGEF7; CD40,TrialTroveID-121809,121809,Other
Predictive,1,OPN1MW,EMINALS ISRCTN72727460 TrialTroveID-079881,79881,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,ARHGEF7; CD40; DPT; SCD; TUFM,NCT00047723 R01NS45294 TrialTroveID-079057,79057,Iii
,0,,TrialTroveID-078907,78907,Ii
,0,,TrialTroveID-102300,102300,I
Diagnostic; Predisposing; Prognostic,1,ARHGEF2; EXOSC9; IL9; PSMD7,IRB5178 NCT00614926 TrialTroveID-080449,80449,Iv
Prognostic,0,ZMYM2,TrialTroveID-079830,79830,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; ASPRV1; CUX1; HCLS1; KHSRP; MPL; PSIP1; SOD1; TCF3; TNFRSF1B; VCP,MON-2023-001 NCT06177431 TrialTroveID-496830,496830,I
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; ASPRV1; CUX1; EIF4EBP1; HCLS1; KHSRP; MPL; NEFL; PSIP1; RPS6KB1; SOD1; TCF3; TNFRSF1B; VCP,MON-2021-001 NCT04894240 TrialTroveID-385362,385362,Iii
,1,,TrialTroveID-220888,220888,Iv
,0,,TrialTroveID-128316,128316,Ii
Predisposing; Prognostic,0,ADAMTS2,MP-101-01 NCT03044249 TrialTroveID-281496,281496,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CD34; FABP7; FOXP3; JAK1,MRG24ALS NCT06315608 TrialTroveID-508439,508439,Ii
,0,,2022342 NCT04557410 TrialTroveID-384923,384923,I
Diagnostic; Predictive; Predisposing; Prognostic,0,NBN; ROS1; SOD1,TrialTroveID-121794,121794,Ii
Diagnostic; Predictive; Prognostic,0,ABRA; DDC; LIME1; STAR,CTR20240913 TrialTroveID-513758 YYAA1-BLZ-24008,513758,I
Diagnostic; Predisposing; Prognostic,0,ELANE; WASPA,AgiNab Nabilone-FTD NCT05742698 TrialTroveID-460012,460012,Ii
Diagnostic,1,CTSC,CANALS EudraCT Number: 2010-022808-40 NCT01776970 TrialTroveID-181182,181182,Ii/Iii
,1,,TrialTroveID-294461,294461,Iv
,0,,ChiCTR2400083114 CTR20240243 SRKL-ALS-Ⅱ-2023 TrialTroveID-502302,502302,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CD4; CD8A,ChiCTR2300077387 TrialTroveID-491734,491734,I
,1,,ChiCTR2300068650 TrialTroveID-460826,460826,Iv
Predictive; Prognostic,0,DOCK3; RASA1,CTRI/2022/12/047965 TrialTroveID-451102,451102,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CRP,032-2017 NCT05031351 NIALS TrialTroveID-412810,412810,Ii
Diagnostic; Prognostic,0,GGT1,CTR20202518 D2020076 NCT04950933 TrialTroveID-397296 Z-HLSJ-GR-2020-KCYY-01,397296,Ii
,1,,ChiCTR2000037353 TrialTroveID-383507,383507,Iv
Diagnostic; Prognostic,0,GGT1; LIMS1,CTR20192373 CTR20200929 TrialTroveID-379874 Z-HLSJ-GR-2019-KCYY-01,379874,Ii
,0,,0015-14-CMC ALS-PHL NCT02588807 TrialTroveID-266962,266962,I
,0,,ChiCTR-IOR-14005674 TrialTroveID-255509,255509,Ii
Predictive; Prognostic,0,CST7,NCT00753571 PUTH-1 TrialTroveID-097484,97484,Ii
,0,,TrialTroveID-080362,80362,Ii
Predictive; Predisposing; Prognostic,0,CYP3A4,ACTRN12623000476639 CL-4746-23-01 TrialTroveID-471337,471337,I
,1,,TrialTroveID-148984,148984,Ii/Iii
Diagnostic; Predictive; Prognostic,1,CST3; CST7; NEFL; NGF,HX-A-2023027 NATURAL NCT06391645,514860,Ii/Iii
,0,,TrialTroveID-373815,373815,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CRP; DES; GGT1; insulin; TBL1X,2017-A00416-47 C16-87 ECOCAPTURE NCT03272230,308450,Other
Diagnostic; Predictive; Predisposing; Prognostic,0,CBS; CRP; GAN; GRN; STAB2,CHR12-09098 NCT01835665 TrialTroveID-245133,245133,I
,0,,D2020109 NCT04950647 TrialTroveID-408143,408143,Ii
Diagnostic; Predictive; Prognostic,0,CBS; NEFL,23-011476 NCT06392126,514876,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,HGF,TrialTroveID-355173,355173,I
,0,,TrialTroveID-254932,254932,I
Diagnostic; Predictive; Predisposing; Prognostic,0,insulin; OTOS,A18-305 NCT04115384 TrialTroveID-358557,358557,Ii
,0,,TrialTroveID-264899,264899,Ii
,1,,TrialTroveID-260821,260821,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,CRP; NCL,20160522 NCT02794857 NP001-10-003 TrialTroveID-176786,176786,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CD163; CRP; CYTL1; EGF; EHHADH; HGF; LBP; SYNE1; TGFB1; TNF,NCT01281631 NP001-10-002 TrialTroveID-141255,141255,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CD14; EPO; FCGR3A; G6PD,NCT01091142 NP001 Single Dose - ALS TrialTroveID-124600,124600,I
,0,,TrialTroveID-432126,432126,I
,0,,TrialTroveID-365379,365379,I
Diagnostic; Prognostic,0,ACTA1,NCT03954600 NPT520-34-001 TrialTroveID-349330,349330,I
Diagnostic; Predictive; Predisposing; Prognostic,0,STS; TAFA5,NCT05143463 NS101_P1_01 TrialTroveID-419841,419841,I
,1,,TrialTroveID-371996,371996,Iii
,0,,TrialTroveID-254064,254064,Ii
Predictive,0,insulin A1C,NCT01730716 NS2012-3 TrialTroveID-180626,180626,Ii
,0,,TrialTroveID-168164,168164,Iii
Diagnostic; Predictive; Prognostic,0,ATP2C1; insulin A1C; NPS; RBFOX3; SOX2; SYNE1,NCT01348451 NS2008-1 Study No.: 00020318 TrialTroveID-102165,102165,I
Diagnostic; Prognostic,1,CTSC; PICALM,0120-293/2019/8/1 NCT04825119 TrialTroveID-400683,400683,Iv
Diagnostic; Predictive; Prognostic,1,GFAP; GPNMB; NEFL; SNAP25,LIPCAL-ALS II 1.1 NCT06280079 TrialTroveID-506213,506213,Iv
Diagnostic; Predictive; Prognostic,0,CDK5R2; S100A6,2009-P-001132 MDA136152 NCT00983983 TrialTroveID-116123,116123,Ii
,1,,LIPCAL-ALS study TrialTroveID-365911,365911,Iv
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; NEFL; TBX1,AXO-CLI-210c-03 EUCT number: 2023-508895-13-00 NCT06365216 SEALS TrialtroveID-512705,512705,Ii
Diagnostic; Predisposing; Prognostic,1,CYP1A2; GGT1; PDLIM4,NCT00876772 OLN-ALS01 TrialTroveID-106947,106947,Ii/Iii
,1,,DeNDRoN 035ext EudraCT Number: 2010-021179-10 NCT01285583 TrialTroveID-141399 TRO19622 CL E Q 1425-1 TRO19622 OLE TRO19622CLEQ1425 UKCRN ID: 10407 WN29852,141399,Ii/Iii
,0,,TrialTroveID-122013,122013,I
Diagnostic; Predictive; Prognostic,1,S100A6,DeNDRoN 035 DeNDRoN 035 (Trophos CL E Q 1015-1) EudraCT Number: 2008-007320-25 MITOTARGET MREC N° : 09/H0706/47 NCT00868166 TrialTroveID-080568 TRO19622 CL E Q 1015-1 Trophos CL E Q 1015-1 UKCRN ID: 6706 WN29853,80568,Ii/Iii
Prognostic,0,TM9SF2; TRO,TrialTroveID-080017,80017,I
Diagnostic; Prognostic,0,PICK1; PITX3; SMPD1,NCT00410566 SPHINGO00605 TrialTroveID-237122,237122,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CYP1A2; CYP3A4; FOLH1B; MNDA,CTCH346A2211 NCT00072709 TCH346A2211 TrialTroveID-079099,79099,Ii
,0,,CTCH346A2211E1 EudraCT Number: 2004-002855-15 NCT00230074 TCH346A2211E1 TrialTroveID-078690,78690,Ii
,0,,2010.607/11 ALS-TOX NCT01551940 TrialTroveID-163934,163934,Ii
,1,,TrialTroveID-152703,152703,Iv
Diagnostic; Prognostic,1,ACTA1,TrialTroveID-140851,140851,Iv
,1,,TrialTroveID-079862,79862,Iv
Diagnostic; Prognostic,1,PPP1R12A,132998 EudraCT Number: 2007-003017-14 TrialTroveID-169479,169479,Iv
Diagnostic; Predisposing; Prognostic,0,COIL,EudraCT Number: 2004-002912-27 ONO-2506PO E011 TrialTroveID-336561,336561,Ii
,0,,EudraCT Number: 2007-004723-37 NCT00694941 ONO-2506POE015 TrialTroveID-091503,91503,Ii
,0,,2506PO/EU0106 N0059122206 TrialTroveID-079013,79013,Ii
Diagnostic; Predictive; Prognostic,0,CD200; S100B,EudraCT Number: 2006-002660-26 NCT00403104 NL15677.041.06 ONO-2506POE014 SIRONA TrialTroveID-078967,78967,Ii
,0,,TrialTroveID-279278 UMIN000022050,279278,Ii
Predictive,0,insulin A1C,JPRN-UMIN000007062 TrialTroveID-149387 UMIN000007062,149387,I
Diagnostic; Predisposing; Prognostic,1,ACE; HNRNPA1; SCGB1A1,ACTRN12618001807246 TrialTroveID-336701 U1111-1218-4356,336701,Iii
,0,,FTDOXY13EF IEMO NCT01937013 R-13-270 TrialTroveID-231106,231106,Ii
Predisposing; Prognostic,0,ADAMTS2; CDR1; PICK1; RUNX1T1,FOXY FTDOXY17EF NCT03260920 TrialTroveID-307719,307719,Ii
Prognostic,0,TPSG1,EudraCT Number: 2018-000143-12 ORBIS-DE-UNIBO001 TrialTroveID-473607,473607,Ii
,0,,17783 FTDOXY10EF NCT01386333 R-11-232 TrialTroveID-226952,226952,I
Prognostic,0,ATP2C1; NOG,112 264 112264 DeNDRoN 083 GSK EudraCT Number: 2012-003349-13 JapicCTI-132047 NCT01753076 NL42366.041.12 NOG112264 TrialTroveID-159001 UKCRN ID: 12921,159001,Ii
Diagnostic; Predictive; Prognostic,0,CD200; NCBP1,111330 DeNDRoN 036 EudraCT Number: 2008-005040-16 FTIH NOG111330 MREC N°: 09/H0804/1 NCT00875446 NOG111330 NOGO-A NOGO111330 TrialTroveID-106808 UKCRN ID: 6600,106808,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,APP; CDR1; DOCK3; GFAP; GRN; HELLS; NEFL; PSEN1; PSEN2; RUNX1T1,EudraCT Number: 2020-004499-17 FTD-GRN NCT04747431 PBFT02-001 TrialTroveID-374688 upliFT-D,374688,Iii
Predictive; Prognostic,0,CST7,LCKY2016-58 NCT03085706,298030,(N/A)
Diagnostic; Predisposing; Prognostic,0,ACE; ADAMTS2; CDR1; RUNX1T1,NCT04489017 PEA-FTD SPE.107 TrialTroveID-380926,380926,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,ATP2C1; TBX1,APL2-ALS-206 EudraCT Number: 2019-003797-10 jRCT2031230170 MERIDIAN NCT04579666 NL74696.041.20 TrialTroveID-386281,386281,Ii
,0,,N0059115937 TrialTroveID-079170,79170,Ii
,0,,IM.JS.03 NCT03377309 TrialTroveID-314973,314973,Ii
,0,,TrialTroveID-297732 UMIN000026221,297732,I
,1,,Eisai-01 NCT03020797 TrialTroveID-294165,294165,Iv
,0,,A2016-J000-001 NCT03019419 TrialTroveID-294056 UMIN000025614,294056,Ii
,0,,17-002396 NCT03793868 TrialTroveID-340225,340225,I
Diagnostic; Predictive; Predisposing; Prognostic,0,ATP2C1; MIP; SOD1; ZMYM2,202208170 NCT05725759 TrialTroveID-459178,459178,Ii
Diagnostic; Prognostic,1,ASL; CRX; RPGR,212028 NCT05357612 TrialTroveID-431238,431238,Iv
Diagnostic; Predictive; Predisposing; Prognostic,1,BMP1; CFB; PDP1; PIM1; PLEK; PRCP; TPO; USE1; WASPA,ACP-103-046 EudraCT Number: 2017-003536-36 NCT03575052 PMC 3069-2 Study 046 TrialTroveID-327273,327273,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,BMP1; CBS; CFB; CKAP2; DENR; insulin A1C; MMP2; PDP1; PRCP; SKAP2; TPO; WASPA,ACP-103-045 EudraCT Number: 2017-002227-13 HARMONY NCT03325556 TrialTroveID-301631,301631,Iii
,1,,ACP-103-047 EudraCT Number: 2017-004439-36 NCT03623321 TrialTroveID-330120,330120,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,CD200; CYP2D6,NCT03272503 Pimozide2 Pimozide2_ALS-002 TrialTroveID-308441,308441,Ii
,0,,NCT02463825 PIMOZIDE_ALS-001 REB14-0617 TrialTroveID-259065,259065,Ii
